Site,Article,Article Description,Qty,City,Store Name,Full Tally Name,Store Type,TP / ex GST,Stock Value
A050,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,3,Gurugram,Dlf Mega Mall,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,4197
A050,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Gurugram,Dlf Mega Mall,146BK NeoCase Sleeve MP 450 14,Store,779,779
A051,250417,Amkette 4 Port USB 3.0 Hub BLK,1,New Delhi,Airport Terminal 3 Domestic,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
A051,256479,Amkette EvoFox Explore Gaming Bundle,4,New Delhi,Airport Terminal 3 Domestic,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,10000
A051,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,2,New Delhi,Airport Terminal 3 Domestic,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Store,999,1998
A051,256480,Amkette EvoFox Prime Gaming Bundle,3,New Delhi,Airport Terminal 3 Domestic,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,9000
A051,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,2,New Delhi,Airport Terminal 3 Domestic,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,2798
A051,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,New Delhi,Airport Terminal 3 Domestic,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A051,250421,Amkette Neo Case 14 Multi Pocket GRY,1,New Delhi,Airport Terminal 3 Domestic,146BK NeoCase Sleeve MP 450 14,Store,779,779
A053,250423,Amkette Ergo Laptop Stand 7 Levels,1,Surat,Ripple,650GR Ergo View Laptop Stand-Grey,Store,759,759
A053,204736,AMKETTE Xcite Pro Keyboard,1,Surat,Ripple,851PP Xcite Pro Keyboard USB,Store,549,549
A055,256479,Amkette EvoFox Explore Gaming Bundle,1,New Delhi,Connaught Place,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A055,256480,Amkette EvoFox Prime Gaming Bundle,1,New Delhi,Connaught Place,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A055,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,2,New Delhi,Connaught Place,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,2798
A055,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,New Delhi,Connaught Place,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A055,250421,Amkette Neo Case 14 Multi Pocket GRY,1,New Delhi,Connaught Place,146BK NeoCase Sleeve MP 450 14,Store,779,779
A056,250417,Amkette 4 Port USB 3.0 Hub BLK,1,Bangalore,J P Nagar,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
